song_id,song,artist,reentry_date,previous_rank,reentry_rank,rank_jump,previous_popularity,reentry_popularity,popularity_change,popularity_change_rate,peak_rank_after_reentry,peak_date,peak_improvement,retention_days,rank_recovery_speed,rank_volatility,momentum_score
Standing Next to You - Jung Kook,Standing Next to You,Jung Kook,2025-03-26,6,7,-1,92,92,0,0.0,5,2025-04-06,2,247,0.18181818181818182,1.1336690830640084,0.5363636363636364
Slow Dance (feat. Sofia Carson) - Jimin,Slow Dance (feat. Sofia Carson),Jimin,2025-08-14,7,8,-1,80,80,0,0.0,6,2025-08-28,2,106,0.14285714285714285,1.6143910627234532,0.5285714285714286
Closer Than This - Jimin,Closer Than This,Jimin,2025-08-14,6,7,-1,78,78,0,0.0,5,2025-08-28,2,106,0.14285714285714285,1.6522094051201095,0.5285714285714286
3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,2025-03-02,6,6,0,85,85,0,0.0,4,2025-03-17,2,271,0.13333333333333333,1.6300927016787978,0.5266666666666666
Grain of Sand - Lim Young Woong,Grain of Sand,Lim Young Woong,2025-07-12,23,23,0,61,61,0,0.0,21,2025-08-07,2,134,0.07692307692307693,2.6328148172659986,0.5153846153846153
Like Crazy (English Version) - Jimin,Like Crazy (English Version),Jimin,2025-03-15,3,4,-1,79,79,0,0.0,2,2025-05-09,2,131,0.03636363636363636,2.6085327982172277,0.5072727272727273
Closer to You (feat. Major Lazer) - Jung Kook,Closer to You (feat. Major Lazer),Jung Kook,2025-03-16,48,50,-2,80,79,-1,-1.25,48,2025-06-08,2,85,0.023809523809523808,1.0,0.5047619047619047
Why? - PLAVE,Why?,PLAVE,2025-09-02,34,49,-15,54,55,1,1.8518518518518516,49,2025-09-02,0,2,0.0,0.0,0.4629629629629629
Elevator - Lim Young Woong,Elevator,Lim Young Woong,2024-11-22,49,50,-1,55,56,1,1.8181818181818181,50,2024-11-22,0,17,0.0,0.0,0.45454545454545453
Rainbow - Lim Young Woong,Rainbow,Lim Young Woong,2025-08-12,43,47,-4,55,56,1,1.8181818181818181,47,2025-08-12,0,1,0.0,0.0,0.45454545454545453
"Our Blues, Our Life - Lim Young Woong","Our Blues, Our Life",Lim Young Woong,2025-08-12,46,49,-3,55,56,1,1.8181818181818181,49,2025-08-12,0,3,0.0,0.0,0.45454545454545453
Grain of Sand - Lim Young Woong,Grain of Sand,Lim Young Woong,2025-03-02,13,13,0,69,69,0,0.0,12,2025-03-03,1,266,1.0,2.135981906401481,0.45
Hype Boy - NewJeans,Hype Boy,NewJeans,2025-09-23,50,50,0,79,79,0,0.0,49,2025-09-24,1,21,1.0,0.7071067811865476,0.45
