artist,songs,chart_entries,avg_rank,best_rank,avg_popularity,peak_popularity,chart_strength,fandom_intensity,fandom_rank
Benson Boone,1,84,29.011904761904763,20,93.61904761904762,100,82.80357142857143,367.86739064902855,34
QWER,3,224,26.120535714285715,8,60.47767857142857,65,67.67857142857142,366.55393793490623,35
League of Legends & NewJeans,1,111,31.405405405405407,4,85.72972972972973,88,77.66216216216216,366.4488245044987,36
IU,5,136,27.88235294117647,6,74.93382352941177,84,74.02573529411765,364.2052056674607,37
SEVENTEEN,7,124,31.016129032258064,13,80.56451612903226,88,75.2741935483871,363.44742277402975,38
AKMU,3,168,28.625,8,68.29166666666667,81,70.33333333333334,360.8028762829229,39
fromis_9,1,105,17.847619047619048,10,71.05714285714286,73,77.10476190476192,359.57336100886954,40
ROSÉ & Bruno Mars,1,39,2.4358974358974357,2,94.71794871794872,98,96.64102564102564,356.49709391167755,41
Lauv,2,106,27.67924528301887,8,76.68867924528301,84,75.00471698113208,350.4842042300885,42
Jin,9,100,22.35,2,71.88,89,75.265,347.3570457000574,43
Mitski,1,81,43.80246913580247,31,98.0,99,77.59876543209876,341.9559731935736,44
Doja Cat,1,65,26.923076923076923,13,87.83076923076923,100,80.95384615384616,339.16866542373924,45
UMI & V,1,69,27.956521739130434,14,86.10144927536231,90,79.57246376811594,338.0632337169856,46
BIBI,1,75,19.373333333333335,4,74.33333333333333,77,77.97999999999999,337.71058587552807,47
Lee Young Ji,1,93,25.838709677419356,4,73.27956989247312,77,74.22043010752688,337.20529284536235,48
KATSEYE,1,78,32.08974358974359,16,83.56410256410257,86,76.23717948717949,333.1143801883993,49
JEON SOMI,1,76,21.63157894736842,10,73.1842105263158,75,76.27631578947368,331.32947408533954,50
Jung Kook & USHER,2,72,26.5,15,79.94444444444444,83,77.22222222222223,331.3188123997924,51
NMIXX,5,112,35.74107142857143,20,74.24107142857143,80,69.75,329.73530035518576,52
Halsey & SUGA,1,80,37.2875,17,83.3375,87,73.525,323.1018740972911,53
Kendrick Lamar,5,63,39.17460317460318,20,92.58730158730158,98,77.2063492063492,321.09217964224507,54
ECLIPSE,1,77,36.57142857142857,26,77.01298701298701,79,70.72077922077922,308.1098430615347,55
Vaundy,1,85,33.61176470588235,14,70.50588235294117,71,68.9470588235294,307.11414505521975,56
JISOO,1,44,30.15909090909091,17,85.27272727272727,86,78.05681818181819,297.1359618435492,57
SZA,2,51,45.372549019607845,40,93.49019607843137,94,74.55882352941177,294.60008313540936,58
TAEYANG,2,79,39.53164556962025,28,71.40506329113924,79,66.4367088607595,291.12742774792235,59
imase,1,48,28.729166666666668,12,76.875,79,74.57291666666666,290.2243907726455,60
Olivia Rodrigo,1,38,39.39473684210526,21,96.5,99,79.05263157894737,289.6141890782489,61
GroovyRoom & HUH YUNJIN,1,52,29.53846153846154,14,73.25,75,72.35576923076923,287.2735254757665,62
Jimin & Loco,1,20,2.0,2,89.5,93,94.25,286.9462397554326,63
BOYNEXTDOOR,5,77,36.66233766233766,19,66.49350649350649,75,65.41558441558442,284.9966540264347,64
MEOVV,1,48,24.4375,8,69.83333333333333,76,73.19791666666666,284.8731378627434,65
Stray Kids,7,57,37.05263157894737,16,75.47368421052632,89,69.71052631578948,283.0556193404596,66
KANGDANIEL,2,59,34.016949152542374,24,70.89830508474576,76,68.9406779661017,282.26688994641347,67
Creepy Nuts,1,43,42.69767441860465,34,90.4186046511628,92,74.36046511627907,281.39410126636375,68
d4vd,1,50,38.78,30,78.96,84,70.59,277.5475714140102,69
LISA,3,36,35.583333333333336,21,88.19444444444444,92,76.80555555555554,277.3385563461466,70
G-DRAGON,3,35,18.142857142857142,3,69.08571428571429,74,75.97142857142858,272.2450530672799,71
Various Artists,3,53,33.698113207547166,18,68.30188679245283,78,67.80188679245283,270.46064474205133,72
tripleS,1,46,29.130434782608695,14,68.45652173913044,71,70.16304347826087,270.13807357650467,73
LISA & ROSALÍA,1,29,29.448275862068964,16,86.44827586206897,92,79.0,268.6945931513103,74
The Kid LAROI & Jung Kook & Central Cee,1,21,14.619047619047619,3,86.80952380952381,92,86.5952380952381,267.6695572110523,75
TOMORROW X TOGETHER,3,40,35.675,21,76.775,85,71.05000000000001,263.8492953393411,76
Red Velvet,2,42,34.142857142857146,18,70.78571428571429,75,68.82142857142858,258.85116510505344,77
Crush,1,34,35.05882352941177,19,77.55882352941177,80,71.75,255.09622341186542,78
PLAVE,3,57,37.94736842105263,13,62.03508771929825,67,62.54385964912281,253.95577776487693,79
Parc Jae Jung,1,78,39.57692307692308,30,53.93589743589744,55,57.67948717948718,252.02751138780937,80
Post Malone,5,30,41.46666666666667,23,86.6,91,73.06666666666666,250.90999840771468,81
Dhruv,1,31,45.064516129032256,30,82.09677419354838,83,69.01612903225806,239.19167625935532,82
DEAN,1,28,31.785714285714285,7,71.57142857142857,76,70.39285714285714,237.03357431797644,83
ENHYPEN,3,29,43.03448275862069,23,79.79310344827586,89,68.87931034482759,234.27212999552262,84
Aimyon,1,34,38.970588235294116,32,69.44117647058823,70,65.73529411764706,233.71185051261293,85
¥$ & Kanye West & Ty Dolla $ign,6,33,36.696969696969695,19,65.93939393939394,97,65.12121212121212,229.64087173939794,86
MAX,1,31,42.03225806451613,28,73.3225806451613,76,66.14516129032259,229.2416602803497,87
NCT DREAM,3,30,34.36666666666667,12,66.73333333333333,72,66.68333333333334,228.98971341908452,88
Beenzino,15,56,34.732142857142854,12,45.607142857142854,56,55.9375,226.15818029449517,89
Nerd Connection,1,56,42.875,31,53.642857142857146,55,55.88392857142857,225.9415882622897,90
Dua Lipa,1,18,43.888888888888886,41,95.33333333333333,97,76.22222222222223,224.43168218979758,91
Mariah Carey,1,12,26.166666666666668,9,99.75,100,87.29166666666666,223.8987043284133,92
Jimin & HA SUNG WOON,1,22,35.40909090909091,20,76.04545454545455,77,70.81818181818181,222.04999947352795,93
Megan Thee Stallion & RM,1,15,28.0,19,83.13333333333334,87,78.06666666666666,216.44675958285222,94
j-hope,4,22,39.63636363636363,21,76.63636363636364,82,69.0,216.34910089911133,95
10CM,1,22,39.22727272727273,30,74.31818181818181,77,68.04545454545455,213.3561291475426,96
Jack Harlow,1,15,47.53333333333333,39,99.0,99,76.23333333333333,211.36368025874597,97
NAYEON,1,26,36.03846153846154,26,60.88461538461539,67,62.92307692307692,207.38419664550315,98
EXO,3,18,32.94444444444444,19,71.83333333333333,77,69.94444444444444,205.94714859836378,99
BIG Naughty,2,26,31.46153846153846,8,52.73076923076923,60,61.13461538461539,201.4897191736108,100
NCT,1,24,37.541666666666664,23,61.291666666666664,64,62.375,200.777379576154,101
Kanye West & Ty Dolla $ign,9,13,31.0,18,81.53846153846153,89,75.76923076923077,199.95934382084843,102
The Weeknd & Playboi Carti,1,12,32.0,4,86.91666666666667,90,77.95833333333334,199.95917699210565,103
