song_id,song,artist,comeback_number,reentry_date,reentry_rank,reentry_popularity,peak_rank,peak_date,retention_days,average_rank,average_popularity,rank_decay,days_to_peak,rank_recovery_speed,rank_stability,first_entry_rank,first_entry_popularity,first_entry_peak_rank,first_entry_retention_days,first_entry_average_rank,first_entry_average_popularity,rank_improvement_vs_first_entry,peak_improvement_vs_first_entry,retention_change_vs_first_entry
Ditto - NewJeans,Ditto,NewJeans,4,2025-02-16,50,85,50,2025-02-16,2,50.0,85.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-35,-38,-168
Ditto - NewJeans,Ditto,NewJeans,5,2025-03-11,49,83,49,2025-03-11,2,49.0,83.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-34,-37,-168
Ditto - NewJeans,Ditto,NewJeans,6,2025-03-18,50,82,50,2025-03-18,1,50.0,82.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-35,-38,-169
Ditto - NewJeans,Ditto,NewJeans,7,2025-03-26,49,81,49,2025-03-26,1,49.0,81.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-34,-37,-169
Ditto - NewJeans,Ditto,NewJeans,8,2025-04-01,47,80,47,2025-04-01,1,47.0,80.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-32,-35,-169
Ditto - NewJeans,Ditto,NewJeans,9,2025-04-27,46,81,33,2025-04-30,19,40.94736842105263,80.05263157894737,15,3,4.333333333333333,4.904348231819124,15,90,12,170,23.558823529411764,87.33529411764705,-31,-21,-151
Ditto - NewJeans,Ditto,NewJeans,10,2025-05-17,49,80,48,2025-05-18,2,48.5,80.0,0,1,1.0,0.7071067811865476,15,90,12,170,23.558823529411764,87.33529411764705,-34,-36,-168
Ditto - NewJeans,Ditto,NewJeans,11,2025-05-20,49,80,49,2025-05-20,1,49.0,80.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-34,-37,-169
Ditto - NewJeans,Ditto,NewJeans,12,2025-05-31,42,80,38,2025-06-03,41,43.19512195121951,76.85365853658537,8,3,1.3333333333333333,3.179776031382729,15,90,12,170,23.558823529411764,87.33529411764705,-27,-26,-129
Ditto - NewJeans,Ditto,NewJeans,13,2025-07-12,49,78,47,2025-07-14,6,48.166666666666664,78.5,3,2,1.0,1.3291601358251257,15,90,12,170,23.558823529411764,87.33529411764705,-34,-35,-164
Ditto - NewJeans,Ditto,NewJeans,14,2025-07-20,49,79,49,2025-07-20,1,49.0,79.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-34,-37,-169
Ditto - NewJeans,Ditto,NewJeans,15,2025-07-24,45,79,45,2025-07-24,1,45.0,79.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-30,-33,-169
Ditto - NewJeans,Ditto,NewJeans,16,2025-07-26,50,78,50,2025-07-26,5,50.0,78.4,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-35,-38,-165
Ditto - NewJeans,Ditto,NewJeans,17,2025-08-03,47,79,47,2025-08-03,1,47.0,79.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-32,-35,-169
Ditto - NewJeans,Ditto,NewJeans,18,2025-08-10,45,78,45,2025-08-10,2,46.5,78.5,3,0,0.0,2.1213203435596424,15,90,12,170,23.558823529411764,87.33529411764705,-30,-33,-168
Ditto - NewJeans,Ditto,NewJeans,19,2025-08-14,45,79,45,2025-08-14,3,47.0,79.0,3,0,0.0,1.7320508075688772,15,90,12,170,23.558823529411764,87.33529411764705,-30,-33,-167
Ditto - NewJeans,Ditto,NewJeans,20,2025-09-13,48,78,48,2025-09-13,2,48.5,78.0,1,0,0.0,0.7071067811865476,15,90,12,170,23.558823529411764,87.33529411764705,-33,-36,-168
Ditto - NewJeans,Ditto,NewJeans,21,2025-09-16,49,78,45,2025-09-19,5,48.4,78.4,4,3,1.3333333333333333,1.9493588689617927,15,90,12,170,23.558823529411764,87.33529411764705,-34,-33,-165
Ditto - NewJeans,Ditto,NewJeans,22,2025-09-25,45,78,45,2025-09-25,1,45.0,78.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-30,-33,-169
Ditto - NewJeans,Ditto,NewJeans,23,2025-10-05,50,78,46,2025-10-07,4,48.25,78.0,4,2,2.0,2.0615528128088303,15,90,12,170,23.558823529411764,87.33529411764705,-35,-34,-166
Ditto - NewJeans,Ditto,NewJeans,24,2025-10-12,45,77,30,2025-10-15,5,41.0,77.0,20,3,5.0,7.713624310270756,15,90,12,170,23.558823529411764,87.33529411764705,-30,-18,-165
Ditto - NewJeans,Ditto,NewJeans,25,2025-10-18,39,77,39,2025-10-18,1,39.0,77.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-24,-27,-169
Ditto - NewJeans,Ditto,NewJeans,26,2025-10-23,48,77,48,2025-10-23,1,48.0,77.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-33,-36,-169
Ditto - NewJeans,Ditto,NewJeans,27,2025-11-05,48,77,48,2025-11-05,1,48.0,77.0,0,0,0.0,0.0,15,90,12,170,23.558823529411764,87.33529411764705,-33,-36,-169
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,1,2025-03-02,11,70,10,2025-03-03,12,11.75,69.41666666666667,2,1,1.0,0.621581560508061,30,0,6,142,8.838028169014084,69.66197183098592,19,-4,-130
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,2,2025-03-15,12,68,12,2025-03-15,10,14.3,68.0,1,0,0.0,1.4181364924121764,30,0,6,142,8.838028169014084,69.66197183098592,18,-6,-132
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,3,2025-03-26,15,67,11,2025-05-07,107,17.439252336448597,64.35514018691589,10,42,0.09523809523809523,3.27419173403106,30,0,6,142,8.838028169014084,69.66197183098592,15,-5,-35
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,4,2025-07-12,22,62,19,2025-07-18,32,20.5,62.875,1,6,0.5,1.1639753904947558,30,0,6,142,8.838028169014084,69.66197183098592,8,-13,-110
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,5,2025-08-14,21,63,20,2025-08-22,68,25.058823529411764,61.4264705882353,23,8,0.125,5.46052961441341,30,0,6,142,8.838028169014084,69.66197183098592,9,-14,-74
Do or Die - Lim Young Woong,Do or Die,Lim Young Woong,6,2025-10-22,46,60,46,2025-10-22,2,47.5,60.0,3,0,0.0,2.1213203435596424,30,0,6,142,8.838028169014084,69.66197183098592,-16,-40,-140
